image_path,text_label
9.81파크.jpg, "A gravity-powered racing kart descending without an engine"
9.81파크1.jpg, "A gravity-powered racing kart descending without an engine"
감따남 착한농장1.jpg, "A tangerine farm where you can experience tangerine picking, visit a café, and take snap photos"
감따남 착한농장2.jpg, "A tangerine farm where you can experience tangerine picking, visit a café, and take snap photos."
군산 오름.jpg, "A hill surrounded by a natural stone wall, resembling a backdrop."
군산 오름2.jpg, "A hill surrounded by a natural stone wall, resembling a backdrop."
김경숙해바라기농장1.jpg, "The largest sunflower farm in Jeju, showcasing vast fields of sunflowers."
김경숙해바라기농장2.jpg, "The largest sunflower farm in Jeju, showcasing vast fields of sunflowers."
김녕해수욕장1.jpg, "A beach with cobalt blue water and silver sands, perfect for relaxing."
김녕해수욕장2.jpg, "A beach with cobalt blue water and silver sands, perfect for relaxing."
낭만농장 귤밭76번지1.jpg, "A tangerine farm where you can pick tangerines and take photos with the backdrop of lush citrus fields."
낭만농장 귤밭76번지2.jpg, "A tangerine farm where you can pick tangerines and take photos with the backdrop of lush citrus fields."
달달미깡감귤밭1.jpg, "A tangerine farm with various photo zones where you can enjoy tangerine picking and capture beautiful photos."
달달미깡감귤밭2.jpg, "A tangerine farm with various photo zones where you can enjoy tangerine picking and capture beautiful photos."
목장카페 밭디1.jpg, "A café where you can experience horseback riding along with enjoying your coffee."
목장카페 밭디2.jpg, "A café where you can experience horseback riding along with enjoying your coffee."
목화오름1.jpg, "A place to take stunning photos with wide open fields and scenic views."
목화오름2.jpg, "A place to take stunning photos with wide open fields and scenic views."
비자림1.jpg, "A natural habitat for rare orchids and plants such as the 'Nado Flower,' 'Wind Orchid,' and 'Black Orchid.'"
비자림2.jpg, "A natural habitat for rare orchids and plants such as the 'Nado Flower,' 'Wind Orchid,' and 'Black Orchid.'"
성산일출봉1.jpg, "A volcanic cone with a pillar-shaped structure, offering a panoramic sunrise view."
성산일출봉2.jpg, "A volcanic cone with a pillar-shaped structure, offering a panoramic sunrise view."
소노캄 제주1.jpg, "A place with heart-shaped trees where you can take photos with the heart-shaped sky backdrop."
소노캄 제주2.jpg, "A place with heart-shaped trees where you can take photos with the heart-shaped sky backdrop."
쇠소깍1.jpg, "A breathtaking spot where you can experience kayaking surrounded by stunning rock formations and lush pine trees."
쇠소깍2.jpg,"A breathtaking spot where you can experience kayaking surrounded by stunning rock formations and lush pine trees."
스누피가든1.jpg, "A garden where you can meet the Peanuts characters and experience empathy and comfort through their relationships."
스누피가든2.jpg, "A garden where you can meet the Peanuts characters and experience empathy and comfort through their relationships."
아침미소 목장1.jpg, "A farm where you can feed calves and enjoy the vast meadow."
아침미소 목장2.jpg, "A farm where you can feed calves and enjoy the vast meadow."
아쿠아플라넷 제주1.jpg, "The largest aquarium in Korea and the eighth largest in the world."
아쿠아플라넷 제주2.jpg, "The largest aquarium in Korea and the eighth largest in the world."
어린왕자 감귤밭1.jpg, "A tangerine farm where you can enjoy tangerine picking and feeding animals."
어린왕자 감귤밭2.jpg, "A tangerine farm where you can enjoy tangerine picking and feeding animals."
오라동 메밀밭1.jpg, "A place to see vast fields of buckwheat flowers in bloom."
오라동 메밀밭2.jpg, "A place to see vast fields of buckwheat flowers in bloom."
